AQI,Humidity,Temperature
162,73,40
66,46,27
112,77,30
107,61,32
74,71,25
112,83,30
82,49,29
70,47,19
145,66,36
118,44,33
77,49,26
71,58,28
96,62,33
70,41,28
121,54,28
69,68,21
99,80,33
85,30,30
92,79,31
64,73,20
117,43,39
130,37,30
83,66,27
135,53,42
106,62,29
95,72,21
114,54,27
50,62,16
129,67,36
96,73,27
95,86,25
129,85,36
55,63,20
96,56,33
62,95,17
73,69,26
97,66,22
133,43,38
124,71,40
93,48,28
114,53,35
96,40,28
129,52,33
65,60,25
50,37,19
71,46,19
109,58,32
152,41,43
115,41,31
88,47,26
155,39,41
95,69,31
105,45,30
96,71,31
84,73,29
107,42,28
82,60,21
86,52,33
84,43,29
133,55,37
110,56,27
53,70,18
98,75,29
118,43,40
132,53,27
91,67,24
90,77,22
90,23,23
111,79,28
86,57,22
127,82,38
109,53,28
106,47,30
152,60,38
125,77,39
89,60,28
118,24,31
138,70,34
100,35,28
55,45,19
113,42,33
115,32,35
140,41,32
97,45,24
116,50,28
95,59,26
89,54,28
147,37,37
161,57,39
127,74,34
115,74,33
135,62,34
95,69,29
112,73,29
76,80,25
86,85,29
158,55,43
127,55,35
123,82,27
90,83,27
84,83,24
94,24,32
83,56,32
50,20,21
118,70,32
73,60,26
149,60,38
126,57,30
135,79,40
119,55,27
101,75,28
125,68,31
122,65,36
129,66,33
62,61,22
117,43,31
98,70,30
92,70,27
100,57,26
142,70,40
93,73,27
94,40,24
127,57,33
84,53,30
109,46,29
129,64,34
100,47,32
117,53,32
102,63,35
130,65,31
87,64,26
93,93,27
108,52,26
106,63,31
89,41,23
50,67,19
96,77,30
52,78,21
59,50,18
127,55,32
90,78,25
125,58,32
75,74,26
67,45,23
70,80,22
99,75,26
103,66,28
87,48,25
107,57,28
67,62,20
104,63,30
86,58,19
89,56,28
121,62,34
150,80,36
141,29,40
80,39,20
109,36,34
158,49,37
88,33,35
66,68,24
96,61,32
167,56,41
78,49,21
108,62,32
106,62,36
92,64,25
117,49,33
70,69,23
65,37,25
70,78,25
111,20,31
106,51,29
123,41,35
81,71,24
74,37,29
123,87,35
100,36,33
77,90,22
122,66,33
84,60,27
96,66,32
123,92,31
134,73,37
95,26,30
50,77,18
72,63,21
128,35,34
114,71,28
115,41,36
98,62,31
80,63,25
138,50,36
69,69,25
57,44,17
133,62,42
67,51,18
92,57,33
128,88,35
97,61,30
63,43,19
133,58,36
90,48,21
50,60,21
109,62,27
127,61,34
104,61,31
140,51,34
97,66,27
117,75,28
71,50,23
84,59,28
133,60,33
130,78,28
121,76,32
104,49,26
83,61,26
85,37,30
94,45,28
138,60,33
80,69,31
132,74,40
69,55,28
99,39,28
93,65,23
86,57,30
112,66,34
107,62,25
100,70,29
100,69,34
81,72,29
60,53,26
134,74,35
93,52,30
127,61,32
142,87,37
116,65,36
86,42,27
102,82,26
110,75,31
105,77,29
50,62,18
142,65,37
91,56,30
84,49,34
67,82,22
135,54,37
122,52,26
95,53,29
53,87,21
129,73,28
100,54,28
94,59,28
95,67,32
89,73,30
144,35,35
90,73,27
75,56,24
93,49,29
139,54,33
120,71,37
128,86,34
70,62,19
115,68,32
119,47,38
114,67,30
115,72,26
107,37,31
77,52,26
96,71,33
104,33,29
128,54,38
110,69,32
87,34,25
93,54,33
134,60,35
94,73,26
93,40,27
59,76,16
136,64,35
91,77,26
50,77,17
83,65,19
91,67,28
108,33,34
78,39,29
112,44,32
64,54,23
65,73,21
129,33,35
112,55,32
116,40,29
134,36,37
77,82,24
89,61,27
118,84,36
153,77,41
105,46,30
133,32,40
103,91,26
109,53,31
91,42,28
50,70,20
115,62,31
126,49,35
102,54,29
94,62,29
120,61,38
73,71,22
76,54,21
89,54,26
74,69,22
125,64,38
113,76,31
87,56,24
79,58,26
168,42,45
102,82,26
99,39,25
106,63,31
112,46,33
91,65,31
95,71,24
50,35,23
109,56,33
96,33,29
82,81,20
129,53,37
104,36,34
76,49,28
87,79,28
110,82,31
88,79,25
70,48,21
98,57,31
70,84,21
126,49,32
56,54,21
102,45,29
125,42,29
148,78,40
73,69,23
83,66,21
79,68,26
80,75,23
114,82,26
140,59,32
93,54,34
147,44,39
116,76,25
149,52,45
147,37,41
120,55,28
50,60,16
108,72,29
104,75,30
50,49,16
110,47,30
95,55,28
101,41,25
146,58,33
136,66,36
88,60,27
115,35,31
94,42,26
102,79,25
83,44,30
98,71,33
60,69,26
65,55,16
115,45,33
60,63,20
94,46,30
131,57,40
87,61,29
72,49,22
66,56,21
150,55,37
106,41,29
103,57,33
113,50,35
119,32,29
104,54,28
88,55,24
50,50,11
93,29,20
83,71,29
86,70,28
85,69,32
108,64,29
99,41,30
108,61,34
72,46,24
108,92,28
67,52,20
114,70,35
123,36,30
96,42,32
117,51,39
164,70,36
95,68,29
110,64,34
62,32,21
109,76,32
116,46,30
81,84,20
141,87,38
83,72,25
96,74,34
98,41,27
145,98,35
145,63,37
84,74,25
82,47,20
95,59,29
121,42,35
75,56,27
86,60,26
114,63,32
50,80,13
102,67,26
101,63,21
128,60,31
82,90,25
69,51,23
84,77,27
58,30,21
102,46,29
93,66,25
97,57,27
90,100,25
124,98,35
99,37,29
104,43,33
137,57,32
103,86,25
101,77,33
98,64,32
99,38,31
94,47,27
113,20,27
134,36,34
166,66,43
103,71,25
132,40,33
105,61,27
125,84,34
110,62,32
99,55,36
50,69,13
118,67,26
75,61,24
92,52,29
102,53,25
92,61,26
111,51,34
166,80,41
54,73,13
109,76,28
100,90,31
112,83,30
100,81,27
85,65,21
101,57,24
135,94,34
